ID,Parent_SMILES,Value
66,CC(C)(c1cccc(N(c2c3cnc(Nc(cc4)ccc4N4CCN(C)CC4)n2)N(CC=C)C3=O)n1)O,5.263742786
67,CCc1cccc(CC)c1NC(N(C1)Cc2c1c(NC(c(cc1)ccc1N1CCN(C)CC1)=O)n[nH]2)=O,6.356033694
68,CC(C)(C(N1)=O)Oc(cc2)c1nc2Nc(nc(Nc(cc1OC)cc(OC)c1OC)nc1)c1F,7.225702068
69,CC(C)(C)n(c1ncnc(N)c11)nc1-c(cc1)ccc1Cl,7.229046969
70,Cc1cc(N2CCOCC2)cc2c1[nH]c(C(C(NC=C1)=O)=C1NC[C@H](c1cccc(Cl)c1)O)n2,6.885646335
71,Nc1n[nH]c2c1cc(-c1c(cccc3)n3nc1-c1ccccc1)nn2,4.522878745
72,COc1ncc(cc(C(Nc(cc(cc2)C(NCc3cc(Cl)ccc3)=O)c2Cl)=O)c(O)n2)c2n1,1
73,CC(C)N(C=C(C(Nc(cc1)cc(F)c1Oc(c1c2)ccnc1cc(OC)c2OC)=O)C(N1c(cc2)ccc2F)=O)C1=O,6.675348191
74,CC(C)c1noc(CNc2nc(N3CCN(C)CC3)cc(Nc3n[nH]c(C4CC4)c3)n2)c1,7.050980295
75,CC[C@@H]([C@@H](COc(c1c2)nccc1cc(C(N)=O)c2OC)NC1=O)[C@@H]1F,4.522878745
76,Oc(cc(cc1)-c2c(-c3ccncc3)nc(-c3ccccc3)[nH]2)c1Cl,5.758658057
77,COc(cc1c(Nc2cccc(Cl)c2)ncnc1c1)c1OC,5.500770182
78,C=CC(Nc(cc1c(Nc(cc2)cc(Cl)c2F)ncnc1c1)c1OCCCN1CCOCC1)=O,7.471165511
79,C[C@H]1O[C@@H](C)CN(Cc2ccc(/C=C/c3n[nH]c4c3ccc([C@H](C3)[C@]3(c(cc(cc3)OC)c3N3)C3=O)c4)cc2)C1,5.514234661
80,C=CC(N(CCC1)C[C@@H]1n(c(N)c1C(N)=O)nc1-c(cc1)ccc1Oc1ccccc1)=O,8.698970004
81,Oc(cc1)cc(OC=C2)c1C2=O,1
82,CCOc1cn(-c(cc2)c(C)cc2F)nc1C(Nc(cc1)cc(F)c1Oc(c1c2)ccnc1cc(OC)c2OC)=O,6.867393081
83,CCCNc(cc1)nn2c1ncc2-c(cc1)cc2c1[nH]nc2,6.627274128
84,CCCCNc(nc1)nc(N[C@H](CC2)CC[C@@H]2O)c1-c1ncc(CN2CCOCC2)cc1,1
85,CC(C)(CC(NCCn(cc1)c2c1ncnc2Nc(cc1)cc(Cl)c1Oc1cc(C(F)(F)F)ccc1)=O)O,5.248032897
86,CN(CC1)CCN1c1cccc(Nc2nn(cccc3-c(cc4)ccc4S(C)(=O)=O)c3n2)c1,5.301853301
87,Cc(nc1)cn1-c1cc(NC(c2cc(Nc3nc(-c4cnccc4)ccn3)c(C)cc2)=O)cc(C(F)(F)F)c1,4.522878745
88,OC(c1ccc(c2cnccc2c(Nc2cccc(Cl)c2)n2)c2c1)=O,5.040739382
89,C(COc(cc1)c(COC/C=C/COC2)cc1/N=C(/NC=C1)\N=C1c1cccc2c1)N1CCCC1,5.766494909
90,C(C1)NCCN1c(cc1)ccc1-c1cn2ncc(-c3ccnc4ccccc34)c2nc1,4.522878745
91,CC(C)(C)n(c1c2c(N)ncn1)nc2-c1cccc2ccccc12,6.145948774
92,CC(C)(C)S(c(ccc1ncc2)cc1c2Nc1n[nH]c(cc2)c1cc2F)(=O)=O,4.522878745
93,CCc(nc1C(N)=O)c(NC2CCOCC2)nc1Nc(cc1)cc(OC)c1N(CC1)CCC1N1CCN(C)CC1,6.89011595
94,CC(C)OC(C1)CN1C(NCc(cc1)c(C)cc1-c1nc(Nc2cn(C)nc2)ncc1)=O,7.417818108
95,N#Cc(cc1)ccc1-c1cnc(cc2)n1cc2-c(cc1)ccc1C(N1CCOCC1)=O,4.522878745
96,CC(C)(C)c1nc(-c2cccc(NS(c(c(F)ccc3)c3F)(=O)=O)c2F)c(-c2nc(N)ncc2)s1,5.282611379
97,C[C@H](c(c(Cl)cnc1)c1Cl)Oc(cc1)cc2c1[nH]nc2/C=C/c1cn(CCO)nc1,7.420863585
98,COc(cc(cc1)N2CCOCC2)c1Nc(nc1Nc(cccc2)c2NS(C)(=O)=O)ncc1F,5.330390048
99,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2c1ccc(Oc1cc(-c3ncc(C(F)(F)F)[nH]3)ncc1)c2,1
100,CN(CC1)CCN1[C@H](CC1)CC[C@@H]1n1c2ncnc(N)c2c(-c(cc2)ccc2Oc2ccccc2)c1,8.228694461
101,Cc1cc(Nc2nc(Sc(cc3)ccc3NC(C3CC3)=O)nc(N3CCN(C)CC3)c2)n[nH]1,6.038243595
102,COCCOc1cc2ncnc(Nc3cc(C#C)ccc3)c2cc1OCCO,5.367090348
103,CN(CCC1)CCN1C(c1cccc(-c2ccc(/C=C(\c(cc(cc3)Cl)c3N3)/C3=O)o2)c1)=O,5.0632221
104,CS(c1cc(CNc2nc(Nc(cc3)cc(CC4)c3NC4=O)ncc2C(F)(F)F)ccc1)(=O)=O,5.400567913
105,CC(N1c(cc2)ccc2F)=CC=C(C(Nc(cc2)cc(F)c2Oc(cc(cnn2C)c2c2)c2-c2c[nH]nc2)=O)C1=O,1
106,Oc(cc1)ccc1-c1cnc(cc2)n1nc2NCc1ccco1,6.187200212
107,COc(cc(cc1)N(CC2)CCC2N)c1Nc(nc1)nc(-c2c[nH]c3c2cccc3)c1Cl,6.135889872
108,CC(NCC(N([C@H]1CC2)[C@H]2c2c1ccc(Nc1nc(NC3CCC3)c(C(F)(F)F)cn1)c2)=O)=O,6.550761649
